date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:07:55	715890/715890	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220cb5a5c0d251c109458c85c6afeffbaa%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-brands-400.svg	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:07:56	34390/34390	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22261d666b0147c6c5cda07265f98b8f8c%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-regular-400.eot	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:07:56	69821/69821	---M-Z	200	added ('OK')	text/html	etag:W/%22316ccee5bfd53b1a7032957a8553f640%22	https://cs50.harvard.edu/web/2018/notes/8/	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/notes/8/index.html	(from https://cs50.harvard.edu/web/2018/)
09:07:56	10766/10766	---M-Z	200	added ('OK')	text/html	etag:W/%22869a7e2d9ed11a752746a61f5817cb1e%22	https://cs50.harvard.edu/web/2018/notes/9/	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/notes/9/index.html	(from https://cs50.harvard.edu/web/2018/)
09:07:56	34390/34390	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22261d666b0147c6c5cda07265f98b8f8c%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-regular-400d41d.eot	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:07:56	18058/18058	---M-Z	200	added ('OK')	text/html	etag:W/%22e576e37bc281f71da78713fb8930cb56%22	https://cs50.harvard.edu/web/2018/notes/10/	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/notes/10/index.html	(from https://cs50.harvard.edu/web/2018/)
09:07:56	13584/13584	---M--	200	added ('OK')	binary/octet-stream	etag:%22c20b5b7362d8d7bb7eddf94344ace33e%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff2	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:07:56	31010/31010	---M-Z	200	added ('OK')	text/html	etag:W/%224d97a5be323798eb7d4a26d861e68df6%22	https://cs50.harvard.edu/web/2018/notes/11/	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/notes/11/index.html	(from https://cs50.harvard.edu/web/2018/)
09:07:57	16800/16800	---M--	200	added ('OK')	application/font-woff	etag:%22f89ea91ecd1ca2db7e09baa2c4b156d1%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-regular-400.woff	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:07:57	34092/34092	---M--	200	added ('OK')	application/font-sfnt	etag:%22db78b9359171f24936b16d84f63af378%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-regular-400.ttf	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:07:57	144322/144322	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2289ffa3aba80d30ee0a9371b25c968bbb%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-regular-400.svg	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:07:58	202902/202902	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22a0369ea57eb6d3843d6474c035111f29%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-solid-900.eot	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:07:58	202902/202902	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22a0369ea57eb6d3843d6474c035111f29%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-solid-900d41d.eot	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:07:58	79444/79444	---M--	200	added ('OK')	binary/octet-stream	etag:%22b15db15f746f29ffa02638cb455b8ec0%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff2	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:07:58	103300/103300	---M--	200	added ('OK')	application/font-woff	etag:%22bea989e82b07e9687c26fc58a4805021%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-solid-900.woff	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:07:59	897426/897426	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ec763292e583294612f124c0b0def500%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-solid-900.svg	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:08:00	202616/202616	---M--	200	added ('OK')	application/font-sfnt	etag:%221ab236ed440ee51810c56bd16628aef0%22	https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/webfonts/fa-solid-900.ttf	(from https://cs50.harvard.edu/web/2018/assets/@fortawesome/fontawesome-free/css/all.min.css?1590121405)
09:08:01	210568/210568	---M--	200	added ('OK')	image/png	etag:%221070e6d90635696f2a1e18ef9a6a90fb%22	https://cs50.harvard.edu/web/2018/certificate/1616924a-2647-443f-9b3b-95fba098bb34.png	C:/My%20Web%20Sites/cs50/cs50.harvard.edu/web/2018/certificate/1616924a-2647-443f-9b3b-95fba098bb34.png	(from https://cs50.harvard.edu/web/2018/certificate/)
